,Byte Value : 0,Byte Value : 1,Byte Value : 2,Byte Value : 3,Byte Value : 4,Byte Value : 5,Byte Value : 6,Byte Value : 7,Byte Value : 8,Byte Value : 9,Byte Value : 10,Byte Value : 11,Byte Value : 12,Byte Value : 13,Byte Value : 14,Byte Value : 15,Byte Value : 16,Byte Value : 17,Byte Value : 18,Byte Value : 19,Byte Value : 20,Byte Value : 21,Byte Value : 22,Byte Value : 23,Byte Value : 24,Byte Value : 25,Byte Value : 26,Byte Value : 27,Byte Value : 28,Byte Value : 29,Byte Value : 30,Byte Value : 31,Byte Value : 32,Byte Value : 33,Byte Value : 34,Byte Value : 35,Byte Value : 36,Byte Value : 37,Byte Value : 38,Byte Value : 39,Byte Value : 40,Byte Value : 41,Byte Value : 42,Byte Value : 43,Byte Value : 44,Byte Value : 45,Byte Value : 46,Byte Value : 47,Byte Value : 48,Byte Value : 49,Byte Value : 50,Byte Value : 51,Byte Value : 52,Byte Value : 53,Byte Value : 54,Byte Value : 55,Byte Value : 56,Byte Value : 57,Byte Value : 58,Byte Value : 59,Byte Value : 60,Byte Value : 61,Byte Value : 62,Byte Value : 63,Byte Value : 64,Byte Value : 65,Byte Value : 66,Byte Value : 67,Byte Value : 68,Byte Value : 69,Byte Value : 70,Byte Value : 71,Byte Value : 72,Byte Value : 73,Byte Value : 74,Byte Value : 75,Byte Value : 76,Byte Value : 77,Byte Value : 78,Byte Value : 79,Byte Value : 80,Byte Value : 81,Byte Value : 82,Byte Value : 83,Byte Value : 84,Byte Value : 85,Byte Value : 86,Byte Value : 87,Byte Value : 88,Byte Value : 89,Byte Value : 90,Byte Value : 91,Byte Value : 92,Byte Value : 93,Byte Value : 94,Byte Value : 95,Byte Value : 96,Byte Value : 97,Byte Value : 98,Byte Value : 99,Byte Value : 100,Byte Value : 101,Byte Value : 102,Byte Value : 103,Byte Value : 104,Byte Value : 105,Byte Value : 106,Byte Value : 107,Byte Value : 108,Byte Value : 109,Byte Value : 110,Byte Value : 111,Byte Value : 112,Byte Value : 113,Byte Value : 114,Byte Value : 115,Byte Value : 116,Byte Value : 117,Byte Value : 118,Byte Value : 119,Byte Value : 120,Byte Value : 121,Byte Value : 122,Byte Value : 123,Byte Value : 124,Byte Value : 125,Byte Value : 126,Byte Value : 127,Byte Value : 128,Byte Value : 129,Byte Value : 130,Byte Value : 131,Byte Value : 132,Byte Value : 133,Byte Value : 134,Byte Value : 135,Byte Value : 136,Byte Value : 137,Byte Value : 138,Byte Value : 139,Byte Value : 140,Byte Value : 141,Byte Value : 142,Byte Value : 143,Byte Value : 144,Byte Value : 145,Byte Value : 146,Byte Value : 147,Byte Value : 148,Byte Value : 149,Byte Value : 150,Byte Value : 151,Byte Value : 152,Byte Value : 153,Byte Value : 154,Byte Value : 155,Byte Value : 156,Byte Value : 157,Byte Value : 158,Byte Value : 159,Byte Value : 160,Byte Value : 161,Byte Value : 162,Byte Value : 163,Byte Value : 164,Byte Value : 165,Byte Value : 166,Byte Value : 167,Byte Value : 168,Byte Value : 169,Byte Value : 170,Byte Value : 171,Byte Value : 172,Byte Value : 173,Byte Value : 174,Byte Value : 175,Byte Value : 176,Byte Value : 177,Byte Value : 178,Byte Value : 179,Byte Value : 180,Byte Value : 181,Byte Value : 182,Byte Value : 183,Byte Value : 184,Byte Value : 185,Byte Value : 186,Byte Value : 187,Byte Value : 188,Byte Value : 189,Byte Value : 190,Byte Value : 191,Byte Value : 192,Byte Value : 193,Byte Value : 194,Byte Value : 195,Byte Value : 196,Byte Value : 197,Byte Value : 198,Byte Value : 199,Byte Value : 200,Byte Value : 201,Byte Value : 202,Byte Value : 203,Byte Value : 204,Byte Value : 205,Byte Value : 206,Byte Value : 207,Byte Value : 208,Byte Value : 209,Byte Value : 210,Byte Value : 211,Byte Value : 212,Byte Value : 213,Byte Value : 214,Byte Value : 215,Byte Value : 216,Byte Value : 217,Byte Value : 218,Byte Value : 219,Byte Value : 220,Byte Value : 221,Byte Value : 222,Byte Value : 223,Byte Value : 224,Byte Value : 225,Byte Value : 226,Byte Value : 227,Byte Value : 228,Byte Value : 229,Byte Value : 230,Byte Value : 231,Byte Value : 232,Byte Value : 233,Byte Value : 234,Byte Value : 235,Byte Value : 236,Byte Value : 237,Byte Value : 238,Byte Value : 239,Byte Value : 240,Byte Value : 241,Byte Value : 242,Byte Value : 243,Byte Value : 244,Byte Value : 245,Byte Value : 246,Byte Value : 247,Byte Value : 248,Byte Value : 249,Byte Value : 250,Byte Value : 251,Byte Value : 252,Byte Value : 253,Byte Value : 254,Byte Value : 255
0 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123250324804,0.925444989056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0444385365797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376064997404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123250324804,0.0798753396046,0.0,0.0,0.184051984282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493001299214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192917273157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.903181878525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.322812341756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246500649607,0.0817550165326,0.0,0.0,0.0123250324804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0640427473827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206972491001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176897494844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956203313076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369750974411,0.0,0.0,0.0749702457562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199498078984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084496165624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326089708438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123250324804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027559610451,0.0,0.0,0.0,0.0,0.322812341756,0.916455469389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426951649218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0970474027978,0.0835924373345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389751748735,0.0954692910758,0.322812341756,0.0,0.0,0.0123250324804,0.0123250324804,0.0,0.0,0.0,0.0174302280904,0.0,0.0,0.0,0.0,0.0,0.0,0.0697209123616,0.0,0.0,0.0,0.0,0.0174302280904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0174302280904,0.0,0.0,0.0,0.12076016256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389751748735,0.0,0.0603800812802,0.0,0.900064979847,0.175604682185,0.0123250324804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123250324804,0.056480394284,0.0,0.0,0.0348604561808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537235710577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0897275908459,0.0,0.0,0.0,0.0,0.0,0.900064979847,0.0246500649607,0.0426951649218,0.0246500649607,0.0213475824609,0.0246500649607,0.0174302280904,0.0246500649607,0.027559610451,0.0213475824609,0.0,0.0,0.0,0.322812341756,0.0,0.0213475824609,0.0,0.0,0.0,0.0,0.0326089708438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0174302280904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123250324804,0.0,0.0,0.0835924373345,0.0,0.0,0.0,0.118858308858,0.0686228766148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172550454725,0.07696980317,0.0,0.0,0.0213475824609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273382445332,0.0,0.0,0.0123250324804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0675069831147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172550454725,0.027559610451,0.0326089708438,0.027559610451,0.027559610451,0.0408775082663,0.0301900406401,0.0,0.0,0.0123250324804,0.0,0.0246500649607,0.0,0.900064979847,0.0326089708438,0.17299007443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326089708438,0.0174302280904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118858308858,0.0123250324804,0.124476726401,0.0,0.0,0.0,0.0213475824609,0.0,0.0,0.0,0.0389751748735,0.0174302280904,0.0,0.0,0.0,0.0326089708438,0.0729158754831,0.0,0.0,0.0,0.0,0.0,0.0,0.056480394284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426951649218,0.892097395993,0.0,0.0,0.0938646508928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808206428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326089708438,0.0246500649607,0.0174302280904,0.0174302280904,0.0123250324804,0.0123250324804,0.0213475824609,0.0123250324804,0.0,0.0,0.0,0.06637233116,0.0,0.172550454725,0.0,0.280512973822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326089708438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118858308858,0.0,0.0,0.0,0.0,0.0,0.056480394284,0.0389751748735,0.0174302280904,0.0,0.0,0.16988884858,0.0897275908459,0.0,0.0,0.0,0.0,0.0697209123616,0.0389751748735,0.0213475824609,0.0,0.0,0.0,0.0835924373345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389751748735,0.172109712103,0.0,0.0,0.027559610451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862752273625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123250324804,0.0,0.0697209123616,0.0123250324804,0.0174302280904,0.027559610451,0.027559610451,0.0301900406401,0.0408775082663,0.0213475824609,0.0174302280904,0.027559610451,0.0246500649607,0.0369750974411,0.0,0.0326089708438,0.0,0.897529818546,0.0,0.0,0.0,0.0,0.118858308858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301900406401,0.0,0.16988884858,0.0,0.0,0.0,0.122632524799,0.0,0.0,0.279699498043,0.0246500649607,0.0,0.0,0.0326089708438,0.0,0.0213475824609,0.0408775082663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 Trailer Byte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0326089708438,0.0477346455379,0.0,0.0,0.152452232267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135013966229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0123250324804,0.0,0.0213475824609,0.0301900406401,0.0522906842712,0.027559610451,0.0348604561808,0.0174302280904,0.0246500649607,0.0,0.0,0.0246500649607,0.0123250324804,0.0246500649607,0.0,0.0697209123616,0.056480394284,0.0835924373345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301900406401,0.0,0.0,0.0,0.279699498043,0.0835924373345,0.0,0.0,0.0,0.0,0.0,0.897445189832,0.0348604561808,0.16988884858,0.0,0.0174302280904,0.0,0.0326089708438,0.0246500649607,0.0897275908459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
